Timestamp,Did the Racket school help you learn about Racket syntax and did you develop skills to work with it?,Did the topics match the advertised description of the week?,Did you learn what you had hoped to learn?,Tell us what you learned that you found most interesting or valuable.,Please share any thoughts that would help us improve future instance of the school.
7/15/2018 21:34:57,5,5,4,"Define-syntax, syntax-parse, and how to create a language usable via #lang","On Tuesday, Wednesday, and Thursday, I wished that we had started about 25% of the way through the day's material so we could have gotten to the more complex examples in class. I also think it would have been helpful to give us a little more recommended reading so everyone is on the same page for basic racket syntax and functions."
7/15/2018 22:54:30,5,5,5,"I learned a lot about what makes up a language such as a reader and expander, compiler and decompiler. ","It was really hard the first day because I had no where near the experience I needed, but then it got much better."
7/16/2018 6:12:19,3,5,3,I think the most valuable thing that happened was the understanding that Racket could be used right now. We could start moving the level of abstraction up to the languages as soon as we wanted with all sorts of problems.,I would have benefitted from some prep work. A series of exercises to get familiar with Racket.
7/16/2018 6:54:38,5,5,5,The taco compiler was the most fascinating part of the course,Maybe ease students into the course a little bit. Matthias' lecture on Monday was a little rough for everybody.
7/16/2018 7:11:42,5,5,5,The advanced macrology in Jay’s talk. How MB explained parsing.,Have a separate track on advanced topics.
7/16/2018 14:16:57,2,3,2,,"The school lacked focus with a new individual teaching each day. This put a lot of pressure on the individual teaching to cover something substantial during the day. 

You should have one person teach all five days so that s/he has the time to cover a topic in detail and develop coursework around it. Remember, this is Racket School and not RacketCon. The goal here is to teach. The goal is not about covering a large range of topics."
7/16/2018 20:24:53,5,5,5,,
7/16/2018 20:27:19,4,5,4,"i learned a lot about the Racket macro system, which was to a large degree new to me.","Some more well-structured sessions, with slides and definitions."
7/16/2018 20:39:18,4,4,4,lexing and parsing,"probably the prerequisites we need can be improved? I was told to read intro on racket-lang and beautifulracket, and I feel like it's not enough for a beginner like me. After first day, I started previewing lectures and it got better."
7/16/2018 21:01:29,5,5,5,Reconsidering whether unityped languages are useful for learning statically typed programming,More clarity on what level of prior experience with racket is needed (e.g. some people not having seen 'let' before)
7/16/2018 21:42:25,5,5,5,Macro is amazing. The stratification of compile time and run time is genius. LOP is an awesome idea that is worth digging into.,"The lecture and lab sessions were very systematic. If possible, a 3-hour crash course with lab sessions on basic Racket would be extremely helpful to some students."
7/16/2018 21:48:24,5,5,5,"Building languages for ""non-traditional"" purposes (e.g. Haiku generation). The ""Taco"" language examples. The discussion of the Racket philosophy on the last day. The Racket Team taking time to talk with and give advice to students.","Two minor thoughts: Improve the introduction to the macro system overall and the ""big picture"" on the first day. Add another non-s-expr language accessible to a wider audience (maybe a picture drawing language? or finite state machines?)."
7/16/2018 22:39:54,5,5,5,I think I know enough know to begin experimenting.,Make us into syntax objects so we can expand when we return to Earth.
7/16/2018 22:59:33,4,4,3,LOP and #lang,"There was huge variety in participants prior knowledge, making pair programming often difficult"
7/16/2018 23:03:04,3,2,2,I loved the way the summer school was organized. Moreover the way the lecture was structured: lab + tutorial.,
7/16/2018 23:11:14,5,5,5,hands-on introduction to syntax-parse and real cases where it can be used,the pacing was a little brisk for me -- i'd learn a concept and not have a chance to synthesize it before we moved on to more advanced applications of the same
7/16/2018 23:35:38,4,4,4,A working knowledge of Syntax Parse.,Spend more time on difficult topics. Anything that has easy to read docs/tutorials (the beautiful racket stuff) can be left out. I would have been more interested in doing a language design tutorial with an expert end to end. 
7/17/2018 10:13:13,5,5,5,Developed more confidence using syntax-parse; lexers readers and parsers are key to making my own module,"Maybe provide background information so people can read up beforehand, I felt like if I hadn't of had classes on some of the topics (bidirectional typechecking was an assignment back home for me), doing the labs would have been hard to understand/implement"
7/17/2018 10:23:09,5,5,5," * Some of the philosophy behind racket and behind developing your own language in racket, 
 * where to look for documentation (have a better feeling where some of it might be hidden) and help,  
 * how easy it is to develop my own langauge in racket, type systems, 
 * a part of the great community behind racket ","since i was overall so extremely happy I cannot think of anything that would have made it better. A minor irritation was the noise level in the lecture hall during exercises; I can't think of a good way to address this though, as immediate access to experts or other people in the room seems just as desirable as a bit of quiet"
7/17/2018 10:34:52,5,5,5,"Comfort with syntax-parse and the steps involved in creating a #lang. I don't know everything about them, but I can learn the rest on my own. Also liked the variety of examples; they weren't all cut from the same cloth.","A little more advance warning about local arrangements (what food is provided, what the dorm rooms are like) would help. I would have brought certain things along. Also please provide more advance guidance to presenters with less experience."
7/17/2018 10:40:48,5,5,5,Ease of creating new DSLs with Racket,Would be nice to have an e-mail list for students
7/17/2018 13:41:58,5,5,5,The idea of LOP and the power of building DSLs for many applications.,Send out a link to a summer-school-20__ Slack Channel so that we could better organize meetings outside of class time.
7/17/2018 23:27:38,5,5,5,Macros and Hashlangs,You are perfect the way you are.
7/18/2018 13:58:59,5,5,5,"The most valuable for me was the step by step exploration of each of the interposition points. It made it much clearer how to make use of each one of them to modify and extend Racket's behavior beyond macros. Amusingly one of the most useful pieces of information that I learned was splice syntax, which in retrospect should have been obvious from the name, but somehow did not click. More generally on that topic syntax/loc and friends are extremely useful.","In discussion with a number of the other students it seems that there were a couple of stumbling blocks for people. 1. Many were not sufficiently familiar with lisp/scheme family language conventions, having suggested reading outside the Racket guide might be good for this audience and provide them with a bit more historical context. When this context is not provided it often manifests as a feeling of having to fight the language to get it to do what you want, though I'm not sure providing the context would necessarily solve that problem, it may just be something that takes time. 2. Communication resources such as #racket on freenode, the mailing lists, and the racket slack organization were not mentioned. Having a 5 minute introduction to the layout of the Racket community might be helpful before the start of the first lecture.

The split between 'the hard way' and 'the easy way' was very effective for me as a way to put all the pieces together and see how certain macros are not simply magic. This also helped enormously because it makes it easier to identify where certain higher level macros may not fit a use case and provides the tools and knowledge for how to use the underlying parts to build a similar abstraction for another use case."
7/18/2018 21:01:19,4,4,4,Getting “under the hood” of Racket.,"Butterick's course was excellent, and I particularly enjoyed Robby's clear and concise explanations during the labs. Robby's talk walk also the best one – short, concise, and to the point. Flatt was also extremely helpful during the labs. However.. the thing that did not sit so well with me, was Matthias' attitude during his lecture and also from the back row during the other lectures. I found his attitude to be hard, loud, and frequently rude, condescending, and disrespectful. I also thought to myself: “Why so much yelling?” and “Why is he trying to be so funny?” The solution: Come better prepared (like Butterick) and calm down."
7/21/2018 13:41:51,3,4,3,Matthias and Matthew's lectures about the macro system,Try to have more continuity from day to day. 
